#"+ESI Scan (rt: 7.015-9.079 min, 125 scans) Frag=250.0V blank14.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,7.611389264639E-06
1,4001.00,9.04100488696713E-06
2,4002.00,9.23599509405904E-06
3,4003.00,1.02739886642667E-05
4,4004.00,1.31528140627779E-05
5,4005.00,1.91183426068164E-05
6,4006.00,2.93926586891757E-05
7,4007.00,4.35117508459371E-05
8,4008.00,5.79820007260423E-05
9,4009.00,6.89778316882439E-05
10,4010.00,7.70290425862186E-05
11,4011.00,8.76522171893157E-05
12,4012.00,0.000110021013824735
13,4013.00,0.000160060735652223
14,4014.00,0.00027162057813257
15,4015.00,0.000517629843670875
16,4016.00,0.00102915673051029
17,4017.00,0.00195067818276584
18,4018.00,0.00325206597335637
19,4019.00,0.00454455055296421
20,4020.00,0.00528256176039577
21,4021.00,0.00523153878748417
22,4022.00,0.00458792597055435
23,4023.00,0.00370882288552821
24,4024.00,0.00286758807487786
25,4025.00,0.0021909661591053
26,4026.00,0.0016999514773488
27,4027.00,0.00137347832787782
28,4028.00,0.00119773077312857
29,4029.00,0.00119941029697657
30,4030.00,0.00150059349834919
31,4031.00,0.00250717392191291
32,4032.00,0.0055416664108634
33,4033.00,0.014519639313221
34,4034.00,0.038055457174778
35,4035.00,0.0854940861463547
36,4036.00,0.152038708329201
37,4037.00,0.217026427388191
38,4038.00,0.270261436700821
39,4039.00,0.323642134666443
40,4040.00,0.393095999956131
41,4041.00,0.477668702602386
42,4042.00,0.550131022930145
43,4043.00,0.573428869247437
44,4044.00,0.536979138851166
45,4045.00,0.465709060430527
46,4046.00,0.392254739999771
47,4047.00,0.335001468658447
48,4048.00,0.298205316066742
49,4049.00,0.279437005519867
50,4050.00,0.274040073156357
51,4051.00,0.276296198368073
52,4052.00,0.279822915792465
53,4053.00,0.278938829898834
54,4054.00,0.2707359790802
55,4055.00,0.255852222442627
56,4056.00,0.236673429608345
57,4057.00,0.21456016600132
58,4058.00,0.188922122120857
59,4059.00,0.159037262201309
60,4060.00,0.126562550663948
61,4061.00,0.0956242829561234
62,4062.00,0.070199079811573
63,4063.00,0.0518933869898319
64,4064.00,0.0400901734828949
65,4065.00,0.0333495736122131
66,4066.00,0.0305210929363966
67,4067.00,0.0312636829912663
68,4068.00,0.0363606140017509
69,4069.00,0.0482331402599812
70,4070.00,0.0718214064836502
71,4071.00,0.115412548184395
72,4072.00,0.19002740085125
73,4073.00,0.305849403142929
74,4074.00,0.465839922428131
75,4075.00,0.657249212265015
76,4076.00,0.842222332954407
77,4077.00,0.959159851074219
78,4078.00,0.95374870300293
79,4079.00,0.824293851852417
80,4080.00,0.626827299594879
81,4081.00,0.430531114339828
82,4082.00,0.277387350797653
83,4083.00,0.176622450351715
84,4084.00,0.118828549981117
85,4085.00,0.0903176888823509
86,4086.00,0.0805287510156631
87,4087.00,0.0830168351531029
88,4088.00,0.0930169597268105
89,4089.00,0.104484111070633
90,4090.00,0.109725303947926
91,4091.00,0.103307239711285
92,4092.00,0.0863877907395363
93,4093.00,0.0654922798275948
94,4094.00,0.0469406992197037
95,4095.00,0.0333954393863678
96,4096.00,0.0245157591998577
97,4097.00,0.0189101416617632
98,4098.00,0.0152907278388739
99,4099.00,0.0127614997327328
100,4100.00,0.0107594477012753
101,4101.00,0.00898104626685381
102,4102.00,0.00737089943140745
103,4103.00,0.00606897566467524
104,4104.00,0.00525970431044698
105,4105.00,0.00505864713340998
106,4106.00,0.00552295567467809
107,4107.00,0.0066746105439961
108,4108.00,0.00843517296016216
109,4109.00,0.0105533888563514
110,4110.00,0.0126922195777297
111,4111.00,0.0146302850916982
112,4112.00,0.0163604635745287
113,4113.00,0.0180773921310902
114,4114.00,0.0202075745910406
115,4115.00,0.0234934277832508
116,4116.00,0.0290365386754274
117,4117.00,0.0382364839315414
118,4118.00,0.0525110065937042
119,4119.00,0.072652168571949
120,4120.00,0.0978230163455009
121,4121.00,0.124328136444092
122,4122.00,0.145006254315376
123,4123.00,0.15166300535202
124,4124.00,0.140983536839485
125,4125.00,0.117804974317551
126,4126.00,0.0909931883215904
127,4127.00,0.0673310682177544
128,4128.00,0.0496190711855888
129,4129.00,0.0380043089389801
130,4130.00,0.0315347798168659
131,4131.00,0.0289497673511505
132,4132.00,0.0287481620907784
133,4133.00,0.0288213137537241
134,4134.00,0.0266989301890135
135,4135.00,0.0213460996747017
136,4136.00,0.014456027187407
137,4137.00,0.00863058306276798
138,4138.00,0.0049739615060389
139,4139.00,0.00311241112649441
140,4140.00,0.00234467908740044
141,4141.00,0.00222282088361681
142,4142.00,0.00257127429358661
143,4143.00,0.00336370687000453
144,4144.00,0.00464329076930881
145,4145.00,0.006555977743119
146,4146.00,0.0094899432733655
147,4147.00,0.0142863839864731
148,4148.00,0.0226894281804562
149,4149.00,0.0385785512626171
150,4150.00,0.0707617029547691
151,4151.00,0.136592477560043
152,4152.00,0.256892770528793
153,4153.00,0.420643478631973
154,4154.00,0.544475555419922
155,4155.00,0.540067553520203
156,4156.00,0.430859208106995
157,4157.00,0.305347263813019
158,4158.00,0.212480366230011
159,4159.00,0.154624283313751
160,4160.00,0.12010945379734
161,4161.00,0.0990571603178978
162,4162.00,0.0853228867053986
163,4163.00,0.0750251337885857
164,4164.00,0.0655965879559517
165,4165.00,0.055710680782795
166,4166.00,0.045276802033186
167,4167.00,0.03500697016716
168,4168.00,0.0258251689374447
169,4169.00,0.0184329152107239
170,4170.00,0.0130615830421448
171,4171.00,0.00947100762277842
172,4172.00,0.00718212919309735
173,4173.00,0.00573454797267914
174,4174.00,0.00481361849233508
175,4175.00,0.00425098743289709
176,4176.00,0.00396264856681228
177,4177.00,0.00388976139947772
178,4178.00,0.00398592790588737
179,4179.00,0.00426009576767683
180,4180.00,0.00484962062910199
181,4181.00,0.00610436825081706
182,4182.00,0.0087415250018239
183,4183.00,0.0141675919294357
184,4184.00,0.0248924549669027
185,4185.00,0.0444278120994568
186,4186.00,0.0753989368677139
187,4187.00,0.115546368062496
188,4188.00,0.155299797654152
189,4189.00,0.18201357126236
190,4190.00,0.188092172145844
191,4191.00,0.174424186348915
192,4192.00,0.147629633545876
193,4193.00,0.116051279008389
194,4194.00,0.0868526995182037
195,4195.00,0.0641098842024803
196,4196.00,0.0484860129654408
197,4197.00,0.0385031998157501
198,4198.00,0.0320743769407272
199,4199.00,0.0273993629962206
200,4200.00,0.0233409646898508
201,4201.00,0.0195000059902668
202,4202.00,0.0159806236624718
203,4203.00,0.0129890125244856
204,4204.00,0.010573429055512
205,4205.00,0.00861658807843924
206,4206.00,0.00696218525990844
207,4207.00,0.00553375296294689
208,4208.00,0.0043633165769279
209,4209.00,0.00352560565806925
210,4210.00,0.0030654682777822
211,4211.00,0.00299861538223922
212,4212.00,0.00336726778186858
213,4213.00,0.00429513910785317
214,4214.00,0.00600277446210384
215,4215.00,0.00871586240828037
216,4216.00,0.0123751554638147
217,4217.00,0.0162914209067822
218,4218.00,0.0193317029625177
219,4219.00,0.0208028294146061
220,4220.00,0.0209493134170771
221,4221.00,0.0204157941043377
222,4222.00,0.0195642318576574
223,4223.00,0.0184022802859545
224,4224.00,0.016915500164032
225,4225.00,0.015279782935977
226,4226.00,0.0137464320287108
227,4227.00,0.0124418800696731
228,4228.00,0.0113315060734749
229,4229.00,0.0103172967210412
230,4230.00,0.00932393129914999
231,4231.00,0.00830870680510998
232,4232.00,0.00725337909534574
233,4233.00,0.00620226608589292
234,4234.00,0.00528922490775585
235,4235.00,0.00467124860733747
236,4236.00,0.00443354761227965
237,4237.00,0.00456315744668245
238,4238.00,0.0049785440787673
239,4239.00,0.00560462381690741
240,4240.00,0.00650418689474463
241,4241.00,0.00798886362463236
242,4242.00,0.0106511926278472
243,4243.00,0.0153535567224026
244,4244.00,0.0231067389249802
245,4245.00,0.0346270129084587
246,4246.00,0.0494611114263535
247,4247.00,0.0650612190365791
248,4248.00,0.0769921541213989
249,4249.00,0.0812181085348129
250,4250.00,0.076929546892643
251,4251.00,0.0668878555297852
252,4252.00,0.0551067665219307
253,4253.00,0.0445719584822655
254,4254.00,0.0366021767258644
255,4255.00,0.0313101410865784
256,4256.00,0.0282150600105524
257,4257.00,0.0266347695142031
258,4258.00,0.025904567912221
259,4259.00,0.0255128163844347
260,4260.00,0.0251048617064953
261,4261.00,0.0243439804762602
262,4262.00,0.0228772945702076
263,4263.00,0.020620858296752
264,4264.00,0.018029373139143
265,4265.00,0.0158350747078657
266,4266.00,0.0144979385659099
267,4267.00,0.0139343030750752
268,4268.00,0.0135559029877186
269,4269.00,0.0125744752585888
270,4270.00,0.0106378858909011
271,4271.00,0.00820946134626865
272,4272.00,0.00607528397813439
273,4273.00,0.00467357831075788
274,4274.00,0.00402922974899411
275,4275.00,0.00400934694334865
276,4276.00,0.00443204119801521
277,4277.00,0.00497245322912931
278,4278.00,0.00514545012265444
279,4279.00,0.00465399492532015
280,4280.00,0.00370192830450833
281,4281.00,0.00271682348102331
