,height_ratio,area_ratio,labelled_peak_loc,labelled_peak_height,labelled_peak_area,peak_loc,peak_height,peak_area,height_weights,area_weights,weighted_height_ratio,weighted_area_ratio,intended_ratio,key,pre_crystal,calibrated_ratio,Post_diffraction
684,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.005820206273773953,True
685,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.006897199601462234,True
686,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.012468344128874919,True
687,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.006205435313982296,True
688,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.0,True
689,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.013088620409959088,True
690,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.0060111506591143645,True
691,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.0021435332359519537,True
692,0.4978585775475588,0.41404930184442984,25476.0,340.5078125,80647.77580261232,25135.0,343.437042236328,114130.41955566409,0.062144961476260537,0.1846105112270091,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.011814069799808322,True
693,0.7707431950680539,0.6449134446245668,24563.0,2291.24682617188,109713.72246551521,24212.0,681.529113769531,60407.901420593276,0.27011394995644006,0.16124104599395525,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.005820206273773953,True
694,0.7707431950680539,0.6449134446245668,24563.0,2291.24682617188,109713.72246551521,24212.0,681.529113769531,60407.901420593276,0.27011394995644006,0.16124104599395525,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.006897199601462234,True
695,0.7707431950680539,0.6449134446245668,24563.0,2291.24682617188,109713.72246551521,24212.0,681.529113769531,60407.901420593276,0.27011394995644006,0.16124104599395525,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.012468344128874919,True
696,0.7707431950680539,0.6449134446245668,24563.0,2291.24682617188,109713.72246551521,24212.0,681.529113769531,60407.901420593276,0.27011394995644006,0.16124104599395525,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.006205435313982296,True
697,0.7707431950680539,0.6449134446245668,24563.0,2291.24682617188,109713.72246551521,24212.0,681.529113769531,60407.901420593276,0.27011394995644006,0.16124104599395525,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.0,True
698,0.7707431950680539,0.6449134446245668,24563.0,2291.24682617188,109713.72246551521,24212.0,681.529113769531,60407.901420593276,0.27011394995644006,0.16124104599395525,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.013088620409959088,True
699,0.7707431950680539,0.6449134446245668,24563.0,2291.24682617188,109713.72246551521,24212.0,681.529113769531,60407.901420593276,0.27011394995644006,0.16124104599395525,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.0060111506591143645,True
700,0.7707431950680539,0.6449134446245668,24563.0,2291.24682617188,109713.72246551521,24212.0,681.529113769531,60407.901420593276,0.27011394995644006,0.16124104599395525,0.35403127452426014,0.28997975391512854,0.0,NUDT7A_Post_diffraction_crystal_mass_spectra_apr_14_16_2019_G10d,False,0.0021435332359519537,True
