  Mounted Crystal ID ,  Crystal to be Mounted ,Expected Ratio
NUDT7A-x2101,CI074438-A10c,0.8
NUDT7A-x2134,CI074438-A11c,0.8
NUDT7A-x2135,CI074438-A12c,0.8
NUDT7A-x2136,CI074438-B02c,0.8
NUDT7A-x2218,CI074438-B06a,0.8
NUDT7A-x2219,CI074438-B06a,0.8
NUDT7A-x2216,CI074438-B06c,0.8
NUDT7A-x2217,CI074438-B06c,0.8
NUDT7A-x2222,CI074438-F04c,0.9
NUDT7A-x2220,CI074438-F05a,0.9
NUDT7A-x2223,CI074438-F05a,0.9
NUDT7A-x2221,CI074438-F05c,0.9
NUDT7A-x2102,CI074438-H01d,0.9
NUDT7A-x2103,CI074438-H02d,0.9
NUDT7A-x2104,CI074438-H03c,0.9
NUDT7A-x2105,CI074438-H03d,0.9
