f_name,intended_ratio,experiment,low_signal
"190301 : ""+ESI Scan (rt: 7.200-7.994 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074435_H7a.d  Deconvoluted (Isotope Width=0.0)""
",0.5,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.200-7.994 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074438_B7c.d  Deconvoluted (Isotope Width=0.0)""
",0.9,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.200-7.994 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074438_D1c.d  Deconvoluted (Isotope Width=0.0)""
",0.8,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.201-7.995 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074438_H1a.d  Deconvoluted (Isotope Width=0.0)""
",0.9,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.203-7.997 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074435_D9a.d  Deconvoluted (Isotope Width=0.0)""
",0.4,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.203-7.997 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074435_F5a.d  Deconvoluted (Isotope Width=0.0)""
",0.5,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.203-7.997 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074438_E3a.d  Deconvoluted (Isotope Width=0.0)""
",0.9,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.204-7.998 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074438_H11a.d  Deconvoluted (Isotope Width=0.0)""
",0.9,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.206-8.000 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074435_H1a.d  Deconvoluted (Isotope Width=0.0)""
",0.5,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.207-7.985 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074435_D9d.d  Deconvoluted (Isotope Width=0.0)""
",0.4,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.207-8.000 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074438_B12c.d  Deconvoluted (Isotope Width=0.0)""
",0.8,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.208-7.985 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074438_E7a.d  Deconvoluted (Isotope Width=0.0)""
",0.9,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.209-7.986 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074438_H7a.d  Deconvoluted (Isotope Width=0.0)""
",0.9,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.211-7.988 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074435_D7c.d  Deconvoluted (Isotope Width=0.0)""
",0.4,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.212-7.989 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074435_D7c_multiple.d  Deconvoluted (Isotope Width=0.0)""
",0.4,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.212-7.989 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074435_H3a.d  Deconvoluted (Isotope Width=0.0)""
",0.5,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.212-7.989 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074438_B10c.d  Deconvoluted (Isotope Width=0.0)""
",0.8,crystal_mass_spec,False
"190301 : ""+ESI Scan (rt: 7.215-7.992 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074438_B10c_2.d  Deconvoluted (Isotope Width=0.0)""
",0.8,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.199-7.992 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074434_D1c.d  Deconvoluted (Isotope Width=0.0)""
",0.6,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.199-7.992 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074437_A11c.d  Deconvoluted (Isotope Width=0.0)""
",1.0,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.200-7.994 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074434_E5a.d  Deconvoluted (Isotope Width=0.0)""
",0.7,crystal_mass_spec,False
